year,currency,market_cap
1995,USD,66584940000
1996,USD,90997080000
1997,USD,29050020000
1998,USD,22077860000
1999,USD,64044670000
2000,USD,26812500000
2001,USD,22997860000
2002,USD,30066960000
2003,USD,54659060000
2004,USD,73250640000
2005,USD,81428120000
2006,USD,138886360000
2007,USD,211692970000
2008,USD,98760600000
2009,USD,214941470000
2010,USD,360388100000
2011,USD,390106890000
2012,USD,428222560000
2013,USD,346673810000
2014,USD,422127050000
2015,USD,353270960000
2016,USD,425767769936
2017,USD,520686680000
2018,USD,486765920000
2019,USD,523321860000
2020,USD,496086050000
2021,USD,508910310810
2022,USD,585567160730
2023,USD,717936458435
